	f1	em	dataset	split	ff_dim	k
0	88.4	81.1	squad1_1	dev	3072	3072
1	79.1	75.1	squad2	dev	3072	3072
2	75.2	69.6	race_string	dev	3072	3072
3	89.3	85.3	mctest_corrected_the_separator	dev	3072	3072
4	62.9	54.7	arc_easy	dev	3072	3072
5	82.0	82.0	boolq	dev	3072	3072
6	66.3	59.6	openbookqa	dev	3072	3072
7	57.5	44.8	arc_hard	dev	3072	3072
8	46.4	26.8	narrativeqa	dev	3072	3072
9	45.6	45.0	commonsenseqa	dev	3072	3072
10	88.4	81.1	squad1_1	dev	3072	1024
11	79.1	75.1	squad2	dev	3072	1024
12	75.2	69.6	race_string	dev	3072	1024
13	89.3	85.3	mctest_corrected_the_separator	dev	3072	1024
14	62.9	54.7	arc_easy	dev	3072	1024
15	82.0	82.0	boolq	dev	3072	1024
16	66.3	59.6	openbookqa	dev	3072	1024
17	57.5	44.8	arc_hard	dev	3072	1024
18	46.4	26.8	narrativeqa	dev	3072	1024
19	45.6	45.0	commonsenseqa	dev	3072	1024
20	88.4	81.1	squad1_1	dev	3072	512
21	79.1	75.1	squad2	dev	3072	512
22	75.2	69.5	race_string	dev	3072	512
23	89.3	85.3	mctest_corrected_the_separator	dev	3072	512
24	62.7	54.6	arc_easy	dev	3072	512
25	82.0	82.0	boolq	dev	3072	512
26	66.1	59.4	openbookqa	dev	3072	512
27	57.5	44.8	arc_hard	dev	3072	512
28	46.4	26.8	narrativeqa	dev	3072	512
29	45.6	45.0	commonsenseqa	dev	3072	512
30	88.4	81.0	squad1_1	dev	3072	256
31	79.1	75.2	squad2	dev	3072	256
32	75.2	69.5	race_string	dev	3072	256
33	89.3	85.3	mctest_corrected_the_separator	dev	3072	256
34	62.5	54.2	arc_easy	dev	3072	256
35	82.0	82.0	boolq	dev	3072	256
36	66.3	59.6	openbookqa	dev	3072	256
37	56.8	44.1	arc_hard	dev	3072	256
38	46.3	26.9	narrativeqa	dev	3072	256
39	45.5	45.0	commonsenseqa	dev	3072	256
40	88.4	81.1	squad1_1	dev	3072	128
41	79.2	75.3	squad2	dev	3072	128
42	75.2	69.7	race_string	dev	3072	128
43	89.0	85.0	mctest_corrected_the_separator	dev	3072	128
44	62.2	54.0	arc_easy	dev	3072	128
45	82.1	82.1	boolq	dev	3072	128
46	67.1	60.4	openbookqa	dev	3072	128
47	57.6	45.2	arc_hard	dev	3072	128
48	46.3	26.9	narrativeqa	dev	3072	128
49	45.7	45.1	commonsenseqa	dev	3072	128
50	87.9	80.7	squad1_1	dev	3072	64
51	79.5	75.6	squad2	dev	3072	64
52	74.9	69.4	race_string	dev	3072	64
53	89.7	86.2	mctest_corrected_the_separator	dev	3072	64
54	61.1	53.2	arc_easy	dev	3072	64
55	81.9	81.9	boolq	dev	3072	64
56	65.9	58.8	openbookqa	dev	3072	64
57	58.2	45.8	arc_hard	dev	3072	64
58	45.9	26.6	narrativeqa	dev	3072	64
59	46.2	45.6	commonsenseqa	dev	3072	64
60	86.8	79.0	squad1_1	dev	3072	32
61	79.1	74.9	squad2	dev	3072	32
62	74.2	68.5	race_string	dev	3072	32
63	89.5	85.9	mctest_corrected_the_separator	dev	3072	32
64	60.6	52.3	arc_easy	dev	3072	32
65	80.3	80.3	boolq	dev	3072	32
66	63.9	56.8	openbookqa	dev	3072	32
67	55.7	42.1	arc_hard	dev	3072	32
68	44.7	25.6	narrativeqa	dev	3072	32
69	44.7	43.9	commonsenseqa	dev	3072	32
70	83.7	74.9	squad1_1	dev	3072	16
71	77.9	73.3	squad2	dev	3072	16
72	72.2	65.9	race_string	dev	3072	16
73	87.3	82.8	mctest_corrected_the_separator	dev	3072	16
74	56.7	47.7	arc_easy	dev	3072	16
75	76.7	76.6	boolq	dev	3072	16
76	61.9	55.4	openbookqa	dev	3072	16
77	56.1	42.1	arc_hard	dev	3072	16
78	42.9	24.4	narrativeqa	dev	3072	16
79	44.8	44.1	commonsenseqa	dev	3072	16
